group1,group2,bothTest,bothTrain
2003650,3385670,0,84
2003650,3387660,4,65
2003650,3389690,0,84
2003650,3391652,6,61
2003650,3399653,0,84
2003650,3401650,1,66
2003650,3403653,0,84
2003650,3405653,2,67
2003650,3407653,0,84
2003650,3409650,6,67
2003650,3411650,0,84
2003650,3415660,3,64
2003650,3417653,0,84
2003650,3419660,1,72
2003650,3421653,0,84
2003650,3427670,2,64
2003650,3429653,0,84
2003650,3431650,6,68
2003650,3433650,0,84
2003650,3435690,1,73
2003650,3437650,0,84
2003650,3439680,4,63
2003650,3441650,0,84
2003650,3443650,5,69
2003650,3445670,0,84
2003650,3447650,2,74
2003650,3453650,0,84
2003650,3455650,2,64
2003650,3477660,0,84
2003650,3481660,4,68
2003650,3483651,0,84
2003650,3485680,4,73
2003650,3487650,0,84
2003650,3489670,2,62
2003650,3491650,0,84
2003650,3495650,5,64
2003650,3497650,0,84
2003650,3499660,2,70
2003650,3501650,0,84
2003650,3503650,6,68
2003650,3509661,0,84
2003650,3511650,7,62
2003650,3515660,0,84
2003650,3517653,4,65
2003650,3519670,0,84
2003650,3523650,3,74
2003650,3525650,0,84
2003650,3527670,3,62
2003650,3529653,0,84
2003650,3531650,3,71
2003650,3535650,0,84
2003650,3537650,2,67
2003650,3551650,0,84
2003650,3561650,3,70
2005650,2007660,0,100
2005650,2009650,0,82
2005650,2013660,0,100
2005650,2015650,0,75
2005650,2017660,0,100
2005650,2019651,0,78
2005650,2023680,0,100
2005650,2025653,0,80
2005650,2027653,0,100
2005650,2029650,0,74
2005650,2031650,0,100
2005650,2033650,0,74
2005650,2035650,0,100
2005650,2037653,0,81
2005650,2039650,0,100
2005650,2041650,0,76
2005650,2043650,0,100
2005650,2045653,0,81
2005650,2049653,0,100
2005650,2051660,0,79
2005650,2055690,0,100
2005650,2057650,0,77
2005650,2059653,0,100
2005650,2061650,0,78
2005650,2063650,0,100
2005650,2065651,0,76
2005650,2067650,0,100
2005650,2071650,0,83
2005650,2073650,0,100
2005650,2075650,0,80
2005650,2077653,0,100
2005650,2081660,0,85
2005650,2083650,0,100
2005650,2085653,0,71
2005650,2087650,0,100
2005650,2093650,0,83
2005650,2097653,0,100
2005650,2103650,0,85
2005650,2105652,0,100
2005650,2107650,0,78
2005650,2109653,0,100
2005650,2113670,0,82
2005650,2115650,0,100
2005650,2117651,0,78
2005650,2119650,0,100
2005650,2123652,0,79
2005650,2125650,0,100
2005650,2127650,0,77
2005650,2129660,0,100
2005650,2131650,0,89
2005650,2133650,0,100
2005650,2137650,0,76
2005650,2139650,0,100
2005650,2143653,0,75
2005650,2145660,0,100
2005650,2147680,0,78
2005650,2149650,0,100
2005650,2151650,0,76
2005650,2153660,0,100
2005650,2155650,0,78
2005650,2157660,0,100
2005650,2159650,0,81
2005650,2161653,0,100
2005650,2163653,0,80
2005650,2165652,0,100
2005650,2167670,0,73
2005650,2169653,0,100
2005650,2171690,0,80
2005650,2173650,0,100
2005650,2177653,0,87
2005650,2179650,0,100
2005650,2181650,0,77
2005650,2183650,0,100
2005650,2185670,0,78
2005650,2187680,0,100
2005650,2189650,0,84
2005650,2193650,0,100
2005650,2195651,0,85
2005650,2197670,0,100
2005650,2199650,0,85
2005650,2201650,0,100
2005650,2203653,0,81
2005650,2205670,0,100
2005650,2207653,0,83
2005650,2215650,0,100
2005650,2219650,0,89
2005650,2221650,0,100
2005650,2223650,0,82
2005650,2225650,0,100
2005650,2227660,0,83
2005650,2229653,0,100
2005650,2231653,0,83
2005650,2239650,0,100
2005650,2241650,0,71
2005650,2243651,0,100
2005650,2253660,0,82
2005650,2255653,0,100
2005650,2257660,0,76
2005650,2261650,0,100
2005650,2265651,0,77
2005650,2267653,0,100
2005650,2271650,0,79
2005650,2277650,0,100
2005650,2279650,0,83
2005650,2281651,0,100
2005650,2283670,0,82
2005650,2285653,0,100
2005650,2287660,0,80
2005650,2289650,0,100
2005650,2291653,0,79
2005650,2293650,0,100
2005650,2295650,0,86
2005650,2297650,0,100
2005650,2301650,0,84
2005650,2305651,0,100
2005650,2307650,0,78
2005650,2309650,0,100
2005650,2313680,0,79
2005650,2315650,0,100
2005650,2321650,0,83
2005650,2325660,0,100
2005650,2327650,0,84
2005650,2329650,0,100
2005650,2335650,0,84
2005650,2337650,0,100
2005650,2339651,0,73
2005650,2341650,0,100
2005650,2343650,0,82
2005650,2349653,0,100
2005650,2353670,0,77
2005650,2355653,0,100
2005650,2359650,0,79
2005650,2365651,0,100
2005650,2367650,0,86
2005650,2373690,0,100
2005650,2375650,0,77
2005650,2379653,0,100
2005650,2389650,0,80
2005650,2393650,0,100
2005650,2395670,0,75
2005650,2399670,0,100
2005650,2405680,0,76
2005650,2409670,0,100
2005650,2411660,0,85
2005650,2413660,0,100
2005650,2419660,0,78
2005650,2421651,0,100
2005650,2427660,0,82
2005650,2431660,0,100
2005650,2433650,0,80
2005650,2435680,0,100
2005650,2437680,0,83
2005650,2447651,0,100
2005650,2449650,0,78
2005650,2453653,0,100
2005650,2455650,0,81
2005650,2457670,0,100
2005650,2461651,0,89
2005650,2463651,0,100
2005650,2465680,0,85
2005650,2471651,0,100
2005650,2473660,0,79
2005650,2475653,0,100
2005650,2487651,0,84
2005650,2491670,0,100
2005650,2493651,0,84
2005650,2495653,0,100
2005650,2499660,0,77
2005650,2503650,0,100
2005650,2505651,0,77
2005650,2507651,0,100
2005650,2511650,0,81
2005650,2513680,0,100
2005650,2517650,0,73
2005650,2519650,0,100
2005650,2523653,0,77
2005650,2525651,0,100
2005650,2527670,0,78
2005650,2529680,0,100
2005650,2531651,0,84
2005650,2535652,0,100
2005650,2537670,0,84
2005650,2539660,0,100
2005650,2541670,0,85
2005650,2543653,0,100
2005650,2545651,0,85
2005650,2547670,0,100
2005650,2551650,0,83
2005650,2555653,0,100
2005650,2559650,0,77
2005650,2565650,0,100
2005650,2567653,0,83
2005650,2571650,0,100
2005650,2575653,0,82
2005650,2579680,0,100
2005650,2581651,0,81
2005650,2583650,0,100
2005650,2587650,0,78
2005650,2589650,0,100
2005650,2597670,0,84
2005650,2599650,0,100
2005650,2603650,0,76
2005650,2611670,0,100
2005650,2613650,0,79
2005650,2617653,0,100
2005650,2619653,0,72
2005650,2625653,0,100
2005650,2629651,0,82
2005650,2633670,0,100
2005650,2637651,0,84
2005650,2639690,0,100
2005650,2641650,0,82
2005650,2643651,0,100
2005650,2647650,0,77
2005650,2657651,0,100
2005650,2665650,0,71
2005650,2667653,0,100
2005650,2669660,0,79
2005650,2671660,0,100
2005650,2675680,0,81
2005650,2677650,0,100
2005650,2679660,0,82
2005650,2681650,0,100
2005650,2695652,0,80
2005650,2703653,0,100
2005650,2705653,0,86
2005650,2709650,0,100
2005650,2713651,0,77
2005650,2717652,0,100
2005650,2719650,0,85
2005650,2725650,0,100
2005650,2727653,0,74
2005650,2731670,0,100
2005650,2733650,0,76
2005650,2739651,0,100
2005650,2743650,0,84
2005650,2751650,0,100
2005650,2757652,0,77
2005650,2767650,0,100
2005650,2769660,0,76
2005650,2771670,0,100
2005650,2773651,0,87
2005650,2775653,0,100
2005650,2777670,0,76
2005650,2779670,0,100
2005650,2785650,0,84
2005650,2787660,0,100
2005650,2795690,0,87
2005650,2799653,0,100
2005650,2801653,0,87
2005650,2803670,0,100
2005650,2805660,0,79
2005650,2807650,0,100
2005650,2811650,0,82
2005650,2815650,0,100
2005650,2817670,0,78
2005650,2823650,0,100
2005650,2827650,0,83
2005650,2829660,0,100
2005650,2831680,0,77
2005650,2835650,0,100
2005650,2837680,0,81
2005650,2841680,0,100
2005650,2843670,0,82
2005650,2849650,0,100
2005650,2853660,0,81
2005650,2855690,0,100
2005650,2857650,0,73
2005650,2859650,0,100
2005650,2861650,0,85
2005650,2863680,0,100
2005650,2871650,0,79
2005650,2873653,0,100
2005650,2879660,0,79
2005650,2883650,0,100
2005650,2887670,0,78
2005650,2889660,0,100
2005650,2893660,0,86
2005650,2895650,0,100
2005650,2901651,0,83
2005650,2903653,0,100
2005650,2905650,0,77
2005650,2907653,0,100
2005650,2909653,0,79
2005650,2911680,0,100
2005650,2913650,0,85
2005650,2915650,0,100
2005650,2917650,0,84
2005650,2921652,0,100
2005650,2923650,0,82
2005650,2929650,0,100
2005650,2931650,0,80
2005650,2933652,0,100
