mcc,split,algorithm,subset,state
0.891354,split_32,optifit,test,combo
0.880538,split_32,optifit,test,fit
0.891042,split_33,optifit,test,combo
0.873631,split_33,optifit,test,fit
0.891371,split_34,optifit,test,combo
0.885381,split_34,optifit,test,fit
0.891448,split_35,optifit,test,combo
0.88304,split_35,optifit,test,fit
0.89181,split_36,optifit,test,combo
0.884632,split_36,optifit,test,fit
0.892063,split_37,optifit,test,combo
0.883345,split_37,optifit,test,fit
0.89144,split_38,optifit,test,combo
0.87661,split_38,optifit,test,fit
0.891975,split_39,optifit,test,combo
0.892149,split_39,optifit,test,fit
0.891317,split_40,optifit,test,combo
0.884064,split_40,optifit,test,fit
0.891742,split_41,optifit,test,combo
0.888374,split_41,optifit,test,fit
0.891407,split_42,optifit,test,combo
0.880129,split_42,optifit,test,fit
0.891536,split_43,optifit,test,combo
0.883493,split_43,optifit,test,fit
0.892133,split_44,optifit,test,combo
0.895921,split_44,optifit,test,fit
0.891516,split_45,optifit,test,combo
0.885382,split_45,optifit,test,fit
0.892011,split_46,optifit,test,combo
0.889596,split_46,optifit,test,fit
0.891407,split_47,optifit,test,combo
0.88537,split_47,optifit,test,fit
0.891584,split_48,optifit,test,combo
0.884435,split_48,optifit,test,fit
0.891535,split_49,optifit,test,combo
0.883695,split_49,optifit,test,fit
0.892107,split_50,optifit,test,combo
0.890952,split_50,optifit,test,fit
0.889482,split_51,optifit,test,combo
0.88949,split_51,optifit,test,fit
0.891903,split_52,optifit,test,combo
0.892353,split_52,optifit,test,fit
0.891698,split_53,optifit,test,combo
0.888331,split_53,optifit,test,fit
0.891062,split_54,optifit,test,combo
0.882202,split_54,optifit,test,fit
0.891351,split_55,optifit,test,combo
0.882773,split_55,optifit,test,fit
0.891485,split_56,optifit,test,combo
0.883484,split_56,optifit,test,fit
0.891581,split_57,optifit,test,combo
0.89052,split_57,optifit,test,fit
0.891658,split_58,optifit,test,combo
0.882042,split_58,optifit,test,fit
0.891653,split_59,optifit,test,combo
0.889743,split_59,optifit,test,fit
0.892032,split_60,optifit,test,combo
0.891254,split_60,optifit,test,fit
0.891822,split_61,optifit,test,combo
0.880811,split_61,optifit,test,fit
0.891775,split_62,optifit,test,combo
0.881229,split_62,optifit,test,fit
0.891275,split_63,optifit,test,combo
0.880758,split_63,optifit,test,fit
0.891498,split_64,optifit,test,combo
0.879314,split_64,optifit,test,fit
0.891635,split_65,optifit,test,combo
0.885443,split_65,optifit,test,fit
0.892023,split_66,optifit,test,combo
0.88448,split_66,optifit,test,fit
0.891414,split_67,optifit,test,combo
0.883493,split_67,optifit,test,fit
0.891265,split_68,optifit,test,combo
0.884957,split_68,optifit,test,fit
0.891842,split_69,optifit,test,combo
0.881786,split_69,optifit,test,fit
0.891195,split_70,optifit,test,combo
0.889106,split_70,optifit,test,fit
0.891849,split_71,optifit,test,combo
0.883688,split_71,optifit,test,fit
0.891246,split_72,optifit,test,combo
0.885906,split_72,optifit,test,fit
0.891634,split_73,optifit,test,combo
0.872477,split_73,optifit,test,fit
0.891676,split_74,optifit,test,combo
0.881898,split_74,optifit,test,fit
0.891511,split_75,optifit,test,combo
0.893594,split_75,optifit,test,fit
0.891318,split_76,optifit,test,combo
0.882997,split_76,optifit,test,fit
0.891545,split_77,optifit,test,combo
0.886606,split_77,optifit,test,fit
0.891956,split_78,optifit,test,combo
0.882814,split_78,optifit,test,fit
0.891737,split_79,optifit,test,combo
0.873623,split_79,optifit,test,fit
0.891521,split_80,optifit,test,combo
0.884117,split_80,optifit,test,fit
0.891546,split_81,optifit,test,combo
0.882367,split_81,optifit,test,fit
0.891452,split_82,optifit,test,combo
0.884849,split_82,optifit,test,fit
0.892073,split_83,optifit,test,combo
0.89089,split_83,optifit,test,fit
0.891462,split_84,optifit,test,combo
0.890392,split_84,optifit,test,fit
0.89139,split_85,optifit,test,combo
0.880785,split_85,optifit,test,fit
0.891241,split_86,optifit,test,combo
0.875591,split_86,optifit,test,fit
0.891675,split_87,optifit,test,combo
0.879727,split_87,optifit,test,fit
0.891359,split_88,optifit,test,combo
0.87825,split_88,optifit,test,fit
0.891226,split_89,optifit,test,combo
0.891433,split_89,optifit,test,fit
0.891502,split_90,optifit,test,combo
0.884449,split_90,optifit,test,fit
0.891258,split_91,optifit,test,combo
0.885155,split_91,optifit,test,fit
0.891519,split_92,optifit,test,combo
0.874805,split_92,optifit,test,fit
0.891435,split_93,optifit,test,combo
0.878649,split_93,optifit,test,fit
0.891622,split_94,optifit,test,combo
0.884402,split_94,optifit,test,fit
0.891295,split_95,optifit,test,combo
0.884293,split_95,optifit,test,fit
0.891563,split_96,optifit,test,combo
0.88938,split_96,optifit,test,fit
0.891145,split_97,optifit,test,combo
0.880293,split_97,optifit,test,fit
0.891895,split_98,optifit,test,combo
0.886916,split_98,optifit,test,fit
0.891677,split_99,optifit,test,combo
0.886521,split_99,optifit,test,fit
0.89153,split_100,optifit,test,combo
0.885518,split_100,optifit,test,fit
