mcc,split,algorithm,subset,state
0.871446,split_87,optifit,test,fit
0.880229,split_88,optifit,test,combo
0.871871,split_88,optifit,test,fit
0.880295,split_89,optifit,test,combo
0.88078,split_89,optifit,test,fit
0.880151,split_9,optifit,test,combo
0.872304,split_9,optifit,test,fit
0.88032,split_90,optifit,test,combo
0.87586,split_90,optifit,test,fit
0.876696,split_91,optifit,test,combo
0.87158,split_91,optifit,test,fit
0.879674,split_92,optifit,test,combo
0.862714,split_92,optifit,test,fit
0.880574,split_93,optifit,test,combo
0.868279,split_93,optifit,test,fit
0.876987,split_94,optifit,test,combo
0.869579,split_94,optifit,test,fit
0.879871,split_95,optifit,test,combo
0.868628,split_95,optifit,test,fit
0.880122,split_96,optifit,test,combo
0.879958,split_96,optifit,test,fit
0.876412,split_97,optifit,test,combo
0.871118,split_97,optifit,test,fit
0.879924,split_98,optifit,test,combo
0.87617,split_98,optifit,test,fit
0.875105,split_99,optifit,test,combo
0.869458,split_99,optifit,test,fit
0.7905,NA,gg,NA,NA
0.6407,NA,vsearch,NA,NA
