label	cutoff	tp	tn	fp	fn	sensitivity	specificity	ppv	npv	fdr	accuracy	mcc	f1score
0.03	0.03	2.74469e+07	7.43665e+09	2.38354e+06	4.03336e+06	0.871877	0.99968	0.920097	0.999458	0.920097	0.999141	0.895234	0.895338	
0.03	0.03	2.75839e+07	7.42122e+09	2.52269e+06	3.91314e+06	0.875762	0.99966	0.916208	0.999473	0.916208	0.999137	0.895325	0.895528	
0.03	0.03	2.74552e+07	7.42858e+09	2.39371e+06	4.0174e+06	0.872352	0.999678	0.919806	0.999459	0.919806	0.999141	0.895336	0.895451	
0.03	0.03	2.75872e+07	7.42928e+09	2.53225e+06	3.90929e+06	0.875882	0.999659	0.915926	0.999474	0.915926	0.999137	0.895249	0.895456	
0.03	0.03	2.76948e+07	7.42276e+09	2.67212e+06	3.82356e+06	0.878688	0.99964	0.912005	0.999485	0.912005	0.999129	0.894755	0.895037	
0.03	0.03	2.76021e+07	7.41566e+09	2.586e+06	3.89617e+06	0.876306	0.999651	0.914337	0.999475	0.914337	0.99913	0.894684	0.894918	
0.03	0.03	2.74946e+07	7.43107e+09	2.42681e+06	4.01886e+06	0.872472	0.999674	0.918894	0.999459	0.918894	0.999137	0.894951	0.895081	
0.03	0.03	2.74692e+07	7.43551e+09	2.42154e+06	4.01523e+06	0.872469	0.999674	0.918987	0.99946	0.918987	0.999138	0.894996	0.895124	
0.03	0.03	2.7586e+07	7.32953e+09	2.68556e+06	3.77285e+06	0.879688	0.999634	0.911284	0.999486	0.911284	0.999123	0.894908	0.895207	
0.03	0.03	2.7582e+07	7.42697e+09	2.52653e+06	3.90622e+06	0.875946	0.99966	0.916086	0.999474	0.916086	0.999138	0.89536	0.895567	
0.03	0.03	2.74118e+07	7.41387e+09	2.38179e+06	4.01409e+06	0.872268	0.999679	0.920057	0.999459	0.920057	0.999141	0.895416	0.895525	
0.03	0.03	2.72453e+07	7.44291e+09	2.31556e+06	4.28084e+06	0.864213	0.999689	0.921668	0.999425	0.921668	0.999118	0.892039	0.892016	
0.03	0.03	2.74115e+07	7.4385e+09	2.36051e+06	4.07159e+06	0.870674	0.999683	0.920714	0.999453	0.920714	0.999139	0.894915	0.894995	
0.03	0.03	2.74197e+07	7.42143e+09	2.38351e+06	4.01353e+06	0.872316	0.999679	0.920025	0.999459	0.920025	0.999142	0.895425	0.895536	
