label,cutoff,tp,tn,fp,fn,sensitivity,specificity,ppv,npv,fdr,accuracy,mcc,f1score,sample,type
0.03,0.03,292,144498,14,187,0.609603,0.999903,0.954248,0.998708,0.954248,0.998614,0.762124,0.743949,2231653,optifit_in
0.03,0.03,1217,490297,95,919,0.569757,0.999806,0.927591,0.998129,0.927591,0.997941,0.726124,0.705916,2239650,optifit_in
0.03,0.03,272,90869,22,215,0.558522,0.999758,0.92517,0.99764,0.92517,0.997406,0.717764,0.696543,2241650,optifit_in
0.03,0.03,439,77862,28,277,0.613128,0.999641,0.940043,0.996455,0.940043,0.99612,0.757533,0.742181,2243651,optifit_in
0.03,0.03,396,222063,17,302,0.567335,0.999923,0.958838,0.998642,0.958838,0.998568,0.736979,0.712871,2253660,optifit_in
0.03,0.03,112,34006,1,72,0.608696,0.999971,0.99115,0.997887,0.99115,0.997865,0.775883,0.754209,2255653,optifit_in
0.03,0.03,92,22449,0,37,0.713178,1,1,0.998355,1,0.998361,0.843804,0.832579,2257660,optifit_in
0.03,0.03,203,50978,12,167,0.548649,0.999765,0.944186,0.996735,0.944186,0.996515,0.718341,0.694017,2261650,optifit_in
0.03,0.03,148,31378,3,97,0.604082,0.999904,0.980132,0.996918,0.980132,0.996838,0.768196,0.747475,2265651,optifit_in
0.03,0.03,120,53062,8,111,0.519481,0.999849,0.9375,0.997912,0.9375,0.997767,0.696985,0.668524,2267653,optifit_in
0.03,0.03,381,176533,13,383,0.498691,0.999926,0.967005,0.997835,0.967005,0.997767,0.693604,0.658031,2271650,optifit_in
0.03,0.03,906,324567,73,482,0.652738,0.999775,0.925434,0.998517,0.925434,0.998298,0.77646,0.765526,2277650,optifit_in
0.03,0.03,1044,313122,92,563,0.649658,0.999706,0.919014,0.998205,0.919014,0.997919,0.771757,0.76121,2279650,optifit_in
0.03,0.03,142,116590,6,148,0.489655,0.999949,0.959459,0.998732,0.959459,0.998682,0.684934,0.648402,2281651,optifit_in
0.03,0.03,134,81513,2,161,0.454237,0.999975,0.985294,0.998029,0.985294,0.998008,0.66831,0.62181,2283670,optifit_in
0.03,0.03,234,66422,16,123,0.655462,0.999759,0.936,0.998152,0.936,0.997919,0.782353,0.771005,2285653,optifit_in
0.03,0.03,270,190181,13,189,0.588235,0.999932,0.954064,0.999007,0.954064,0.99894,0.748709,0.727763,2287660,optifit_in
0.03,0.03,366,187482,16,327,0.528139,0.999915,0.958115,0.998259,0.958115,0.998177,0.710645,0.68093,2289650,optifit_in
0.03,0.03,211,61056,15,143,0.596045,0.999754,0.933628,0.997663,0.933628,0.997428,0.744891,0.727586,2291653,optifit_in
0.03,0.03,220,77407,13,175,0.556962,0.999832,0.944206,0.997744,0.944206,0.997584,0.724205,0.700637,2293650,optifit_in
0.03,0.03,1052,440691,47,480,0.686684,0.999893,0.957234,0.998912,0.957234,0.998808,0.810227,0.799696,2295650,optifit_in
0.03,0.03,338,156432,22,288,0.539936,0.999859,0.938889,0.998162,0.938889,0.998026,0.711207,0.685598,2297650,optifit_in
0.03,0.03,77,65547,0,79,0.49359,1,1,0.998796,1,0.998798,0.702136,0.660944,2301650,optifit_in
0.03,0.03,223,63543,17,120,0.650146,0.999733,0.929167,0.998115,0.929167,0.997856,0.776286,0.765009,2305651,optifit_in
0.03,0.03,453,238900,31,394,0.534829,0.99987,0.93595,0.998353,0.93595,0.998228,0.706804,0.680691,2307650,optifit_in
0.03,0.03,69,25072,1,58,0.543307,0.99996,0.985714,0.997692,0.985714,0.997659,0.730926,0.700508,2309650,optifit_in
0.03,0.03,215,43581,18,142,0.602241,0.999587,0.922747,0.996752,0.922747,0.99636,0.743895,0.728814,2313680,optifit_in
0.03,0.03,837,352697,61,466,0.642364,0.999827,0.932071,0.99868,0.932071,0.998512,0.773124,0.760563,2315650,optifit_in
0.03,0.03,688,332885,24,556,0.553055,0.999928,0.966292,0.998333,0.966292,0.998264,0.730357,0.703476,2321650,optifit_in
0.03,0.03,108,58814,1,73,0.596685,0.999983,0.990826,0.99876,0.990826,0.998746,0.76841,0.744828,2325660,optifit_in
0.03,0.03,446,147381,15,398,0.528436,0.999898,0.967462,0.997307,0.967462,0.997214,0.713947,0.683525,2327650,optifit_in
0.03,0.03,399,191209,15,267,0.599099,0.999922,0.963768,0.998606,0.963768,0.99853,0.759264,0.738889,2329650,optifit_in
0.03,0.03,376,165945,21,411,0.477764,0.999873,0.947103,0.997529,0.947103,0.997409,0.671708,0.635135,2335650,optifit_in
0.03,0.03,540,348758,38,530,0.504673,0.999891,0.934256,0.998483,0.934256,0.998377,0.686022,0.65534,2337650,optifit_in
0.03,0.03,117,56085,4,74,0.612565,0.999929,0.966942,0.998682,0.966942,0.998614,0.769051,0.75,2339651,optifit_in
0.03,0.03,694,361293,30,509,0.576891,0.999917,0.958564,0.998593,0.958564,0.998513,0.743031,0.720291,2341650,optifit_in
0.03,0.03,289,70309,15,263,0.523551,0.999787,0.950658,0.996273,0.950658,0.996078,0.703963,0.675234,2343650,optifit_in
0.03,0.03,269,81718,22,206,0.566316,0.999731,0.924399,0.997485,0.924399,0.997227,0.722378,0.70235,2349653,optifit_in
0.03,0.03,514,202291,11,387,0.570477,0.999946,0.979048,0.998091,0.979048,0.998041,0.74658,0.720898,2353670,optifit_in
0.03,0.03,194,74733,5,146,0.570588,0.999933,0.974874,0.99805,0.974874,0.997989,0.745033,0.719852,2355653,optifit_in
0.03,0.03,564,217161,34,371,0.603209,0.999843,0.943144,0.998295,0.943144,0.998143,0.753483,0.735812,2359650,optifit_in
0.03,0.03,99,37757,3,91,0.521053,0.999921,0.970588,0.997596,0.970588,0.997523,0.71021,0.678082,2365651,optifit_in
0.03,0.03,701,404945,32,673,0.510189,0.999921,0.956344,0.998341,0.956344,0.998265,0.69785,0.665401,2367650,optifit_in
0.03,0.03,424,162448,16,418,0.503563,0.999902,0.963636,0.997433,0.963636,0.997342,0.695604,0.661466,2373690,optifit_in
0.03,0.03,471,129620,22,192,0.710407,0.99983,0.955375,0.998521,0.955375,0.998358,0.8231,0.814879,2375650,optifit_in
0.03,0.03,397,247392,14,357,0.526525,0.999943,0.965937,0.998559,0.965937,0.998505,0.712585,0.681545,2379653,optifit_in
0.03,0.03,342,167177,23,368,0.48169,0.999862,0.936986,0.997804,0.936986,0.997671,0.670933,0.636279,2389650,optifit_in
0.03,0.03,265,138696,10,157,0.627962,0.999928,0.963636,0.998869,0.963636,0.9988,0.777398,0.760402,2393650,optifit_in
0.03,0.03,542,313081,30,375,0.591058,0.999904,0.947552,0.998804,0.947552,0.99871,0.747837,0.728005,2395670,optifit_in
0.03,0.03,452,251601,20,332,0.576531,0.999921,0.957627,0.998682,0.957627,0.998605,0.742473,0.719745,2399670,optifit_in
0.03,0.03,218,186550,7,191,0.533007,0.999962,0.968889,0.998977,0.968889,0.998941,0.718222,0.687697,2405680,optifit_in
0.03,0.03,570,164631,51,348,0.620915,0.99969,0.917874,0.997891,0.917874,0.997591,0.753876,0.740741,2409670,optifit_in
0.03,0.03,711,440025,43,551,0.563391,0.999902,0.942971,0.998749,0.942971,0.998654,0.72833,0.705357,2411660,optifit_in
0.03,0.03,341,114364,11,244,0.582906,0.999904,0.96875,0.997871,0.96875,0.997782,0.750571,0.727855,2413660,optifit_in
0.03,0.03,432,218656,32,333,0.564706,0.999854,0.931034,0.998479,0.931034,0.998337,0.724407,0.703011,2419660,optifit_in
0.03,0.03,72,39215,3,50,0.590164,0.999924,0.96,0.998727,0.96,0.998653,0.752152,0.730964,2421651,optifit_in
0.03,0.03,179,42156,4,147,0.54908,0.999905,0.978142,0.996525,0.978142,0.996446,0.73149,0.70334,2427660,optifit_in
0.03,0.03,689,311814,39,694,0.498192,0.999875,0.946429,0.997779,0.946429,0.99766,0.685769,0.652771,2431660,optifit_in
0.03,0.03,364,109596,19,236,0.606667,0.999827,0.950392,0.997851,0.950392,0.997686,0.758355,0.74059,2433650,optifit_in
0.03,0.03,441,237536,31,387,0.532609,0.99987,0.934322,0.998373,0.934322,0.998247,0.704727,0.678462,2435680,optifit_in
0.03,0.03,241,119862,9,183,0.568396,0.999925,0.964,0.998476,0.964,0.998404,0.739591,0.715134,2437680,optifit_in
0.03,0.03,63,38927,0,70,0.473684,1,1,0.998205,1,0.998208,0.687629,0.642857,2447651,optifit_in
0.03,0.03,280,127744,18,229,0.550098,0.999859,0.939597,0.998211,0.939597,0.998074,0.71816,0.693928,2449650,optifit_in
0.03,0.03,137,33940,2,112,0.550201,0.999941,0.985612,0.996711,0.985612,0.996666,0.73513,0.706186,2453653,optifit_in
0.03,0.03,414,130618,13,283,0.593974,0.9999,0.969555,0.997838,0.969555,0.997746,0.757965,0.736655,2455650,optifit_in
0.03,0.03,220,75473,2,160,0.578947,0.999974,0.990991,0.997885,0.990991,0.997864,0.756625,0.730897,2457670,optifit_in
0.03,0.03,109,33742,10,69,0.61236,0.999704,0.915966,0.997959,0.915966,0.997672,0.747917,0.734007,2461651,optifit_in
0.03,0.03,221,92297,7,140,0.612188,0.999924,0.969298,0.998485,0.969298,0.998414,0.76967,0.750424,2463651,optifit_in
0.03,0.03,97,32951,3,102,0.487437,0.999909,0.97,0.996914,0.97,0.996833,0.686456,0.648829,2465680,optifit_in
0.03,0.03,358,188767,18,277,0.56378,0.999905,0.952128,0.998535,0.952128,0.998443,0.732034,0.70821,2471651,optifit_in
0.03,0.03,607,243557,30,456,0.571025,0.999877,0.952904,0.998131,0.952904,0.998013,0.73685,0.714118,2473660,optifit_in
0.03,0.03,217,75032,12,205,0.514218,0.99984,0.947598,0.997275,0.947598,0.997125,0.696936,0.666667,2475653,optifit_in
0.03,0.03,170,50761,9,100,0.62963,0.999823,0.949721,0.998034,0.949721,0.997864,0.772377,0.757238,2487651,optifit_in
0.03,0.03,256,147276,6,158,0.618357,0.999959,0.977099,0.998928,0.977099,0.99889,0.776849,0.757396,2491670,optifit_in
0.03,0.03,266,58244,4,139,0.65679,0.999931,0.985185,0.997619,0.985185,0.997562,0.803386,0.788148,2493651,optifit_in
0.03,0.03,407,127470,16,378,0.518471,0.999874,0.962175,0.997043,0.962175,0.996928,0.705129,0.673841,2495653,optifit_in
0.03,0.03,834,167169,61,426,0.661905,0.999635,0.931844,0.997458,0.931844,0.99711,0.784073,0.774014,2499660,optifit_in
0.03,0.03,1453,589998,87,878,0.623338,0.999853,0.943506,0.998514,0.943506,0.998371,0.766197,0.75071,2503650,optifit_in
0.03,0.03,80,46528,1,56,0.588235,0.999979,0.987654,0.998798,0.987654,0.998779,0.761738,0.737327,2505651,optifit_in
0.03,0.03,247,65262,31,163,0.602439,0.999525,0.888489,0.997509,0.888489,0.997047,0.730301,0.718023,2507651,optifit_in
