"","cv_metric_AUC","Accuracy","Kappa","Mean_F1","Mean_Sensitivity","Mean_Specificity","Mean_Pos_Pred_Value","Mean_Neg_Pred_Value","Mean_Precision","Mean_Recall","Mean_Detection_Rate","Mean_Balanced_Accuracy","method","seed","split","algorithm"
"50",0.689712264016912,0.663265306122449,0.314540059347181,NA,NA,0.827388402169378,NA,NA,NA,NA,0.165816326530612,NA,"rf",2021,"split_50","opticlust"
"51",0.667726196579167,0.744897959183674,0.464831804281346,NA,NA,0.863095238095238,NA,NA,NA,NA,0.186224489795918,NA,"rf",2021,"split_51","opticlust"
"52",0.666105704684758,0.704081632653061,0.396090097747556,NA,NA,0.847408026755853,NA,NA,NA,NA,0.176020408163265,NA,"rf",2021,"split_52","opticlust"
"53",0.695162771718368,0.683673469387755,0.339277946933449,NA,NA,0.832452431289641,NA,NA,NA,NA,0.170918367346939,NA,"rf",2021,"split_53","opticlust"
"54",0.705467721977852,0.63265306122449,0.26006711409396,NA,NA,0.814583333333333,NA,NA,NA,NA,0.158163265306122,NA,"rf",2021,"split_54","opticlust"
"55",0.715054771357932,0.612244897959184,0.230578512396694,NA,NA,0.808125,NA,NA,NA,NA,0.153061224489796,NA,"rf",2021,"split_55","opticlust"
"56",0.720376488032597,0.622448979591837,0.22355460385439,NA,NA,0.804556856187291,NA,NA,NA,NA,0.155612244897959,NA,"rf",2021,"split_56","opticlust"
"57",0.693579922890783,0.602040816326531,0.215839146491588,NA,NA,0.80497491638796,NA,NA,NA,NA,0.150510204081633,NA,"rf",2021,"split_57","opticlust"
"58",0.698436668639349,0.673469387755102,0.290176550475328,NA,NA,0.82100132919805,NA,NA,NA,NA,0.168367346938776,NA,"rf",2021,"split_58","opticlust"
"59",0.701470438880251,0.642857142857143,0.303128809427062,NA,NA,0.827968227424749,NA,NA,NA,NA,0.160714285714286,NA,"rf",2021,"split_59","opticlust"
"60",0.686590436524372,0.663265306122449,0.319730753050063,NA,NA,0.829166666666667,NA,NA,NA,NA,0.165816326530612,NA,"rf",2021,"split_60","opticlust"
"61",0.691718927617924,0.673469387755102,0.350993377483444,NA,NA,0.838333333333333,NA,NA,NA,NA,0.168367346938776,NA,"rf",2021,"split_61","opticlust"
"62",0.70681004970634,0.591836734693878,0.227129337539432,NA,NA,0.810606060606061,NA,NA,NA,NA,0.147959183673469,NA,"rf",2021,"split_62","opticlust"
"63",0.706125984581534,0.673469387755102,0.325881341358555,NA,NA,0.829755892255892,NA,NA,NA,NA,0.168367346938776,NA,"rf",2021,"split_63","opticlust"
"64",0.709127039169116,0.591836734693878,0.226519337016575,NA,NA,0.811011904761905,NA,NA,NA,NA,0.147959183673469,NA,"rf",2021,"split_64","opticlust"
"65",0.693261152484611,0.622448979591837,0.252371134020619,NA,NA,0.81375,NA,NA,NA,NA,0.155612244897959,NA,"rf",2021,"split_65","opticlust"
"66",0.711257447929679,0.663265306122449,0.309269542930372,NA,NA,0.82566889632107,NA,NA,NA,NA,0.165816326530612,NA,"rf",2021,"split_66","opticlust"
"67",0.671582047702265,0.683673469387755,0.300966405890474,NA,NA,0.822441293752769,NA,NA,NA,NA,0.170918367346939,NA,"rf",2021,"split_67","opticlust"
"68",0.695942027274839,0.622448979591837,0.225544639043144,NA,NA,0.805183946488294,NA,NA,NA,NA,0.155612244897959,NA,"rf",2021,"split_68","opticlust"
"69",0.698499709643748,0.642857142857143,0.279714405711886,NA,NA,0.819375,NA,NA,NA,NA,0.160714285714286,NA,"rf",2021,"split_69","opticlust"
"70",0.675011841331362,0.73469387755102,0.451807228915663,NA,NA,0.865131578947368,NA,NA,NA,NA,0.183673469387755,NA,"rf",2021,"split_70","opticlust"
"71",0.682374519311767,0.663265306122449,0.320873582528349,NA,NA,0.829583333333333,NA,NA,NA,NA,0.165816326530612,NA,"rf",2021,"split_71","opticlust"
"72",0.681707132200841,0.714285714285714,0.419873150105708,NA,NA,0.853566958698373,NA,NA,NA,NA,0.178571428571429,NA,"rf",2021,"split_72","opticlust"
"73",0.690393480168841,0.663265306122449,0.326530612244898,NA,NA,0.831632653061224,NA,NA,NA,NA,0.165816326530612,NA,"rf",2021,"split_73","opticlust"
"74",0.685662049176266,0.663265306122449,0.326530612244898,NA,NA,0.831632653061224,NA,NA,NA,NA,0.165816326530612,NA,"rf",2021,"split_74","opticlust"
"75",0.714363304379537,0.653061224489796,0.291063829787234,NA,NA,0.821488294314381,NA,NA,NA,NA,0.163265306122449,NA,"rf",2021,"split_75","opticlust"
"76",0.688896781234034,0.653061224489796,0.277223427331887,NA,NA,0.816981132075472,NA,NA,NA,NA,0.163265306122449,NA,"rf",2021,"split_76","opticlust"
"77",0.721966592465685,0.602040816326531,0.162209557211749,NA,NA,0.788930976430976,NA,NA,NA,NA,0.150510204081633,NA,"rf",2021,"split_77","opticlust"
"78",0.707749741315021,0.612244897959184,0.224489795918367,NA,NA,0.806122448979592,NA,NA,NA,NA,0.153061224489796,NA,"rf",2021,"split_78","opticlust"
